Sum of AMOUNT,Column Labels,,,
MONTH,IP,OP,Grand Total,
Jan," 37,224,256.36 "," 37,178,195.50 "," 74,402,451.86 ",
Feb," 54,884,663.71 "," 33,202,923.53 "," 88,087,587.24 ",
Mar," 51,897,890.26 "," 34,962,678.35 "," 86,860,568.61 ",
Grand Total," 144,006,810.33 "," 105,343,797.38 "," 249,350,607.71 ",
CLAIM_TYPE,(All),,,
CLAIM_HAS_ATTACHMENT,Claim has attachment,,,
,,,,
Sum of AMOUNT,Column Labels,,,
MONTH/STATUS,Jan,Feb,Mar,Grand Total
PAID," 62,242,105.94 "," 67,069,264.25 "," 58,655,163.69 "," 187,966,533.88 "
WIP," 2,650,458.90 "," 9,477,126.30 "," 12,936,410.60 "," 25,063,995.80 "
NOT FOUND," 1,816,738.66 "," 2,749,362.85 "," 4,210,315.89 "," 8,776,417.40 "
Retrurned," 2,358,293.85 "," 1,382,268.44 "," 1,795,429.91 "," 5,535,992.20 "
NOT EDI," 75,720.85 "," 164,145.51 "," 157,239.80 "," 397,106.16 "
Grand Total," 69,143,318.20 "," 80,842,167.35 "," 77,754,559.89 "," 227,740,045.44 "
