PROVIDER NAME,BENEFIT DESC,TOTAL_COST,UNIQUE_VISITS,AVG_COST_PER_VISIT,Z_SCORE
AGA KHAN HOSPITAL - KISUMU,IN PATIENT OVERALL / HOSPITALIZATION/ACCOMODATION,7404391.15,34,217776.21029411766,2.592831050247953
"AGA KHAN HOSPITAL - MOMBASAMTWAPA,NYALI,CHANGAMWE",IN PATIENT OVERALL / HOSPITALIZATION/ACCOMODATION,7461141.98,28,266469.35642857145,3.249851561058621
AGA KHAN MEDICAL CENTRE - HOMABAY,IN PATIENT OVERALL / HOSPITALIZATION/ACCOMODATION,796988.75,4,199247.1875,2.3428174654325784
AGA KHAN MEDICAL CENTRE - KISII,IN PATIENT OVERALL / HOSPITALIZATION/ACCOMODATION,950343.97,3,316781.3233333333,3.9287149498480876
AGA KHAN UNIVERSITY HOSPITAL,IN PATIENT OVERALL / HOSPITALIZATION/ACCOMODATION,1888760.8,7,269822.97142857144,3.2951021561686225
AIC KIJABE,IN PATIENT OVERALL / HOSPITALIZATION/ACCOMODATION,1377663.0,6,229610.5,2.7525120666721232
CENTRAL SERVER,IN PATIENT OVERALL / HOSPITALIZATION/ACCOMODATION,1474257.0,1,1474257.0,19.546626724013784
CHIROMO LANE MEDICAL CENTRE,IN PATIENT OVERALL / HOSPITALIZATION/ACCOMODATION,212867.0,1,212867.0,2.5265906835603724
DEFENCE FORCES WELLNESS CENTRE - LANGATA GARRISON,IN PATIENT OVERALL / HOSPITALIZATION/ACCOMODATION,3137479.62,13,241344.58615384618,2.910841028563566
DIANI BEACH HOSPITAL,IN PATIENT OVERALL / HOSPITALIZATION/ACCOMODATION,1324165.0,3,441388.3333333333,5.610047290435169
JORDAN HOSPITAL KITUI,IN PATIENT OVERALL / HOSPITALIZATION/ACCOMODATION,394160.0,2,197080.0,2.3135754313618944
KAPLONG MISSON HOSPITAL,IN PATIENT OVERALL / HOSPITALIZATION/ACCOMODATION,574880.0,2,287440.0,3.532810130079476
KENYATTA NATIONAL HOSPITAL,IN PATIENT OVERALL / HOSPITALIZATION/ACCOMODATION,2818872.0,9,313208.0,3.8804998126442682
KENYATTA UNIVERSITY TEACHING REFERRAL AND RESEARCH HOSPITAL,IN PATIENT OVERALL / HOSPITALIZATION/ACCOMODATION,1128325.76,6,188054.29333333333,2.191790850259121
MATER HOSPITAL,IN PATIENT OVERALL / HOSPITALIZATION/ACCOMODATION,5164759.42,15,344317.29466666665,4.300260010853982
NANYUKI COTTAGE HOSPITAL,IN PATIENT OVERALL / HOSPITALIZATION/ACCOMODATION,2731800.0,14,195128.57142857142,2.2872446497510643
NORTHERN SPECIALISTS HOSPITAL,IN PATIENT OVERALL / HOSPITALIZATION/ACCOMODATION,260000.0,1,260000.0,3.1625600179412463
PANDYA HOSPITAL,IN PATIENT OVERALL / HOSPITALIZATION/ACCOMODATION,5597741.0,23,243380.04347826086,2.938305616851362
RELIANCE HOSPITAL- SOUTH C,IN PATIENT OVERALL / HOSPITALIZATION/ACCOMODATION,908200.0,5,181640.0,2.105242277884698
ST. THERESAS MISSION HOSPITAL KIIRUA,IN PATIENT OVERALL / HOSPITALIZATION/ACCOMODATION,536279.4,3,178759.80000000002,2.0663795091900727
TENWEK MISSION HOSPITAL BOMET,IN PATIENT OVERALL / HOSPITALIZATION/ACCOMODATION,380000.0,1,380000.0,4.78172960455158
THE KAREN HOSPITAL,IN PATIENT OVERALL / HOSPITALIZATION/ACCOMODATION,10892671.0,43,253317.93023255814,3.072398316749161
THE NAIROBI SOUTH HOSPITAL-SOUTH C,IN PATIENT OVERALL / HOSPITALIZATION/ACCOMODATION,10854594.55,44,246695.3306818182,2.983039051942016
THE NAIROBI WOMEN HOSPITAL-NAIVASHA,IN PATIENT OVERALL / HOSPITALIZATION/ACCOMODATION,388236.12,2,194118.06,2.273609738317189
THE NAKURU SPECIALIST HOSPITAL,IN PATIENT OVERALL / HOSPITALIZATION/ACCOMODATION,641855.0,3,213951.66666666666,2.541226177546011
