PROVIDER NAME,TOTAL_COST,UNIQUE_VISITS,UNIQUE_MEMBERS,TOTAL_CLAIMS,AVG_COST_PER_VISIT,RISK_SCORE
AAR HEALTHCARE  SOUTH C,164637.7,29,14,30,5677.162068965517,0.5729872881355932
AAR HEALTHCARE K LTD - ADAMS,22613.88,4,4,4,5653.47,0.373728813559322
AAR HEALTHCARE K LTD - BURU BURU,22566.95,4,3,4,5641.7375,0.3572033898305085
AAR HEALTHCARE K LTD - DONHOLM,20424.97,3,3,3,6808.323333333334,0.38421610169491527
AAR HEALTHCARE K LTD - EASTLEIGH,30942.2,4,3,4,7735.55,0.4260593220338983
AAR HEALTHCARE K LTD - ELDORET,139458.66999999998,18,8,18,7747.703888888888,0.5768008474576272
AAR HEALTHCARE K LTD - EMBAKASI,272758.07,38,21,39,7177.843947368421,0.6563559322033898
AAR HEALTHCARE K LTD - GEORGE WILLIAMSON HOUSE,185465.46,18,12,18,10303.636666666665,0.6778601694915254
AAR HEALTHCARE K LTD - GEORGE WILLIAMSON WELLNESS,20809.28,3,2,3,6936.426666666666,0.36641949152542375
AAR HEALTHCARE K LTD - GREEN HOUSE-ADAMS ARCADE,36977.17,6,4,6,6162.861666666667,0.4168432203389831
AAR HEALTHCARE K LTD - ICEA BUILDING,16125.060000000001,4,3,4,4031.2650000000003,0.28622881355932206
AAR HEALTHCARE K LTD - KAMAKIS RUIRU,22956.23,5,4,5,4591.246,0.34703389830508474
AAR HEALTHCARE K LTD - KAREN,231385.28,37,14,37,6253.656216216216,0.6058262711864407
AAR HEALTHCARE K LTD - KISUMU,96063.77,20,14,20,4803.1885,0.5129237288135593
AAR HEALTHCARE K LTD - KISUMU UNITED MALL,83873.23,14,8,14,5990.945,0.506885593220339
AAR HEALTHCARE K LTD - KITENGELA,168061.6,30,15,31,5602.053333333333,0.5757415254237288
AAR HEALTHCARE K LTD - LAVINGTON,46719.72,5,2,6,9343.944,0.48209745762711864
AAR HEALTHCARE K LTD - MOMBASA,636360.77,122,30,132,5216.071885245902,0.6458686440677966
AAR HEALTHCARE K LTD - MOUNTAIN MALL,232899.45,30,13,32,7763.3150000000005,0.6416313559322034
AAR HEALTHCARE K LTD - NAKURU,543727.51,56,22,56,9709.419821428572,0.749364406779661
AAR HEALTHCARE K LTD - NAKURU 2 SECTION 58,385104.55,91,21,93,4231.918131868132,0.5800847457627119
AAR HEALTHCARE K LTD - NGONG,277111.11,58,17,60,4777.777758620689,0.5773305084745763
AAR HEALTHCARE K LTD - RONGAI,33558.73,8,4,8,4194.84125,0.35858050847457623
AAR HEALTHCARE K LTD - ROYSAMBU,70564.17,13,6,13,5428.013076923076,0.4661016949152542
AAR HEALTHCARE K LTD - RUAKA,91905.71,11,4,13,8355.064545454547,0.5430084745762711
AAR HEALTHCARE K LTD - SARIT CENTRE CLINIC,146868.04,16,14,16,9179.2525,0.6460805084745763
AAR HEALTHCARE K LTD - THIKA,208291.29,40,15,41,5207.28225,0.573728813559322
AAR HEALTHCARE K LTD - UTAWALA,38226.23,11,6,11,3475.1118181818183,0.36239406779661015
AAR HEALTHCARE KENYA LTD - TATU CITY,13161.84,3,1,3,4387.28,0.2448093220338983
AAR HEALTHCARE LTD SYOKIMAU,207125.99,39,18,42,5310.92282051282,0.590042372881356
ACK MOUNT KENYA HOSPITAL,813264.0,87,31,88,9347.862068965518,0.7673728813559322
AGA KHAN HOSPITAL - KISUMU,8086704.3,110,61,154,73515.49363636364,0.9576271186440677
"AGA KHAN HOSPITAL - MOMBASAMTWAPA,NYALI,CHANGAMWE",8094284.48,93,31,129,87035.31698924732,0.9415254237288135
AGA KHAN KISUMU WEST END MALL,5962.5,3,3,3,1987.5,0.14692796610169492
AGA KHAN MEDICAL CENTER - BUSIA,1240145.16,147,52,243,8436.361632653061,0.7773305084745763
AGA KHAN MEDICAL CENTER - KAKAMEGA,376848.33,61,16,109,6177.841475409837,0.6478813559322034
AGA KHAN MEDICAL CENTER - KIBUYE,1312.5,1,1,1,1312.5,0.03781779661016949
AGA KHAN MEDICAL CENTER - KITALE,85665.24,10,4,22,8566.524000000001,0.5883474576271186
AGA KHAN MEDICAL CENTRE - BAMBURI MWISHO,15250.25,1,1,3,15250.25,0.5223516949152541
AGA KHAN MEDICAL CENTRE - BUNGOMA,312293.29,29,15,62,10768.734137931035,0.7665254237288136
AGA KHAN MEDICAL CENTRE - CHANGAMWE,20847.0,4,3,8,5211.75,0.38760593220338985
AGA KHAN MEDICAL CENTRE - HOMABAY,1503228.8900000001,97,58,141,15497.205051546392,0.9036016949152542
AGA KHAN MEDICAL CENTRE - KERICHO,200023.78,26,15,58,7693.222307692307,0.6683262711864407
AGA KHAN MEDICAL CENTRE - KILIFI,20701.5,4,1,6,5175.375,0.3159957627118644
AGA KHAN MEDICAL CENTRE - KISII,1253283.73,32,20,46,39165.1165625,0.878707627118644
AGA KHAN MEDICAL CENTRE - LIKONI,66465.6,9,5,16,7385.0666666666675,0.5350635593220339
AGA KHAN MEDICAL CENTRE - MARIAKANI,198637.5,44,20,85,4514.488636363636,0.5845338983050847
AGA KHAN MEDICAL CENTRE - MIKINDANI,30794.75,15,4,19,2052.983333333333,0.28697033898305085
AGA KHAN MEDICAL CENTRE - MTWAPA,7571.25,1,1,2,7571.25,0.33485169491525424
AGA KHAN MEDICAL CENTRE - MWATATE,198383.5,35,9,64,5668.1,0.5827330508474576
AGA KHAN MEDICAL CENTRE - NYALI,49974.85,6,4,11,8329.141666666666,0.5304025423728813
AGA KHAN MEDICAL CENTRE - VOI,314174.23,40,15,63,7854.35575,0.6795550847457628
AGA KHAN SATELITE- KIMILILI,138637.71,34,15,75,4077.5797058823528,0.5441737288135593
AGA KHAN UNIVERSITY HOSPITAL,1970251.8,10,9,12,197025.18,0.7783898305084745
"AGA KHAN UNIVERSITY HOSPITAL - PARKLANDS, NAIROBI",28450.0,1,1,1,28450.0,0.5028601694915255
AGC TENWEK CTC - BOMET,621943.41,22,8,23,28270.155000000002,0.7855932203389832
AIC KIJABE,1682153.0,55,27,56,30584.6,0.8915254237288136
AIC KIJABE HOSPITAL - WESTLANDS CLINIC,114782.0,23,7,23,4990.521739130435,0.49364406779661013
ATHI RIVER SHALOM COMMUNITY HOSPITAL,11260.0,2,1,2,5630.0,0.27023305084745763
BAMA MATERNITY AND NURSING HOME - SIAYA,611461.0,86,49,87,7110.011627906977,0.7052966101694915
BAUS OPTICAL -  CATHEDRAL MALL,23100.0,2,2,2,11550.0,0.4702330508474576
BAUS OPTICAL - 680 HOTEL,30000.0,2,2,2,15000.0,0.5221398305084746
BAUS OPTICAL - ELDORET,141111.19,12,12,12,11759.265833333333,0.6773305084745762
BAUS OPTICAL - FOURWAYS,15450.0,2,2,2,7725.0,0.3653601694915254
BAUS OPTICAL - HILTON,253799.25,24,24,24,10574.96875,0.7427966101694915
BAUS OPTICAL - HILTON EXECUTIVE CLINIC,185150.0,15,15,15,12343.333333333334,0.7167372881355932
BAUS OPTICAL - KISII,63500.0,7,7,7,9071.42857142857,0.5452330508474577
BAUS OPTICAL - KISUMU MEGA PLAZA,29025.0,3,3,3,9675.0,0.46896186440677967
BAUS OPTICAL - KITALE,39752.0,6,4,6,6625.333333333333,0.4390889830508475
BAUS OPTICAL - MACHAKOS,88125.0,8,8,9,11015.625,0.6233050847457627
BAUS OPTICAL - MERU,117450.0,12,12,12,9787.5,0.6365466101694914
